id;category;level;code;name;fast_code;direction;pid;status;created_date;created_by
10001;Assets;1;1001;库存现金;kcxj;1;0;1;now();system
10002;Assets;1;1002;银行存款;yhck;1;0;1;now();system
10003;Assets;1;1012;其他货币资金;qthbzj;1;0;1;now();system
10004;Assets;1;1101;短期投资;dqtz;1;0;1;now();system
10005;Assets;2;1101001;股票;dqtz_gp;1;10004;1;now();system
10006;Assets;2;1101002;债券;dqtz_zq;1;10004;1;now();system
10007;Assets;2;1101003;基金;dqtz_jj;1;10004;1;now();system
10008;Assets;1;1121;应收票据;yspj;1;0;1;now();system
10009;Assets;1;1122;应收账款;yszk;1;0;1;now();system
10010;Assets;1;1123;预付账款;yfzk;1;0;1;now();system
10011;Assets;1;1131;应收股利;ysgl;1;0;1;now();system
10012;Assets;1;1132;应收利息;yslx;1;0;1;now();system
10013;Assets;1;1221;其他应收款;qtysk;1;0;1;now();system
10014;Assets;1;1401;材料采购;clcg;1;0;1;now();system
10015;Assets;1;1402;在途物资;ztwz;1;0;1;now();system
10016;Assets;1;1403;原材料;ycl;1;0;1;now();system
10017;Assets;1;1404;材料成本差异;clcbcy;1;0;1;now();system
10018;Assets;1;1405;库存商品;kcsp;1;0;1;now();system
10019;Assets;1;1407;商品进销差价;spjxcj;2;0;1;now();system
10020;Assets;1;1408;委托加工物资;wtjgwz;1;0;1;now();system
10021;Assets;1;1411;周转材料;zzcl;1;0;1;now();system
10022;Assets;1;1421;消耗性生物资产;xhxswzc;1;0;1;now();system
10023;Assets;1;1501;长期债券投资;cqzqtz;1;0;1;now();system
10024;Assets;1;1511;长期股权投资;cqgqtz;1;0;1;now();system
10025;Assets;1;1601;固定资产;gdzc;1;0;1;now();system
10026;Assets;1;1602;累计折旧;ljzj;2;0;1;now();system
10027;Assets;1;1604;在建工程;zjgc;1;0;1;now();system
10028;Assets;1;1605;工程物资;gcwz;1;0;1;now();system
10029;Assets;1;1606;固定资产清理;gdzcql;1;0;1;now();system
10030;Assets;1;1621;生产性生物资产;scxswzc;1;0;1;now();system
10031;Assets;1;1622;生产性生物资产累计折旧;scxswzcljzj;2;0;1;now();system
10032;Assets;1;1701;无形资产;wxzc;1;0;1;now();system
10033;Assets;1;1702;累计摊销;ljtx;2;0;1;now();system
10034;Assets;1;1801;长期待摊费用;cqdtfy;1;0;1;now();system
10035;Assets;1;1901;待处理财产损溢;dclccsy;1;0;1;now();system
10065;Equity;1;3001;实收资本;sszb;2;0;1;now();system
10066;Equity;1;3002;资本公积;zbgj;2;0;1;now();system
10067;Equity;1;3101;盈余公积;yygj;2;0;1;now();system
10068;Equity;2;3101001;法定盈余公积;yygj_fdyygj;2;10067;1;now();system
10069;Equity;2;3101002;任意盈余公积;yygj_ryyygj;2;10067;1;now();system
10070;Equity;2;3101003;法定公益金;yygj_fdgyj;2;10067;1;now();system
10071;Equity;1;3103;本年利润;bnlr;2;0;1;now();system
10072;Equity;1;3104;利润分配;lrfp;2;0;1;now();system
10073;Equity;2;3104001;其他转入;lrfp_qtzr;2;10072;1;now();system
10074;Equity;2;3104002;提取法定盈余公积;lrfp_tqfdyygj;2;10072;1;now();system
10075;Equity;2;3104003;提取法定公益金;lrfp_tqfdgyj;2;10072;1;now();system
10076;Equity;2;3104004;提取任意盈余公积;lrfp_tqryyygj;2;10072;1;now();system
10077;Equity;2;3104005;应付利润;lrfp_yflr;2;10072;1;now();system
10078;Equity;2;3104006;未分配利润;lrfp_wfplr;2;10072;1;now();system
10036;Liabilities;1;2001;短期借款;dqjk;2;0;1;now();system
10037;Liabilities;1;2201;应付票据;yfpj;2;0;1;now();system
10038;Liabilities;1;2202;应付账款;yfzk;2;0;1;now();system
10039;Liabilities;1;2203;预收账款;yszk;2;0;1;now();system
10040;Liabilities;1;2211;应付职工薪酬;yfzgxc;2;0;1;now();system
10041;Liabilities;1;2221;应交税费;yjsf;2;0;1;now();system
10042;Liabilities;2;2221001;应交增值税;yjsf_yjzzs;2;10041;1;now();system
10145;Liabilities;3;222100101;进项税额;yjsf_yjzzs_jxse;1;10042;0;now();system
10146;Liabilities;3;222100102;已交税金;yjsf_yjzzs_yjsj;1;10042;0;now();system
10147;Liabilities;3;222100103;转出未交增值税;yjsf_yjzzs_zcwjzzs;1;10042;0;now();system
10148;Liabilities;3;222100104;减免税款;yjsf_yjzzs_jmsk;1;10042;0;now();system
10149;Liabilities;3;222100105;销项税额;yjsf_yjzzs_xxse;2;10042;0;now();system
10150;Liabilities;3;222100106;出口退税;yjsf_yjzzs_ckts;2;10042;0;now();system
10151;Liabilities;3;222100107;进项税额转出;yjsf_yjzzs_jxsezc;2;10042;0;now();system
10152;Liabilities;3;222100108;出口抵减内销产品应纳税额;yjsf_yjzzs_ckdjnxcpynse;1;10042;0;now();system
10153;Liabilities;3;222100109;转出多交增值税;yjsf_yjzzs_zcdjzzs;2;10042;0;now();system
10155;Liabilities;3;222100110;销项税额抵减;yjsf_yjzzs_xxsedj;1;10042;0;now();system
10043;Liabilities;2;2221002;未交增值税;yjsf_wjzzs;2;10041;1;now();system
10044;Liabilities;2;2221003;应交消费税;yjsf_yjxfs;2;10041;1;now();system
10045;Liabilities;2;2221004;应交营业税;yjsf_yjyys;2;10041;1;now();system
10046;Liabilities;2;2221005;应交资源税;yjsf_yjzys;2;10041;1;now();system
10047;Liabilities;2;2221006;应交所得税;yjsf_yjsds;2;10041;1;now();system
